tipo_linha,variavel,rotulo,codigo,descricao
codigo,,,657,Outras ocupações específicas da indústria gráfica
codigo,,,661,Vidreiros e ampoleiros
codigo,,,662,Ceramistas e louceiros
codigo,,,663,Pintores cerâmicos
codigo,,,664,Oleiros
codigo,,,671,"Mestres, contramestres e técnicos industriais"
codigo,,,672,Ourives e relojoeiros
codigo,,,673,Lapidadores
codigo,,,674,Vulcanizadores e recauchutadores
codigo,,,675,Fogueteiros
codigo,,,676,Outras ocupações técnicas e semi-técnicas no processo de produção
codigo,,,681,Cesteiros e esteireiros
codigo,,,682,Vassoureiros
codigo,,,683,Marmoristas
codigo,,,684,Charuteiros e cigarreiros
codigo,,,685,Polidores e esmerilhadores
codigo,,,686,Pintores a pistola
codigo,,,687,Maleiros
codigo,,,688,Foguistas (exclusive embarcação e trem)
codigo,,,689,Embaladores e expedidores
codigo,,,711,Açougueiros
codigo,,,712,Vendedores ambulantes
codigo,,,713,Balconistas e entregadores
codigo,,,714,Vendedores de jornais e revistas
codigo,,,721,Pracistas e viajantes comerciais
codigo,,,722,Representantes comerciais
codigo,,,723,Propagandistas
codigo,,,731,Corretores e agenciadores
codigo,,,732,Compradores
codigo,,,733,Leiloeiros
codigo,,,811,Aviadores civis
codigo,,,812,Aeromoços
codigo,,,821,Oficiais de marinha mercante
codigo,,,822,Mestres de embarcação
codigo,,,823,Maquinistas de embarcação
codigo,,,824,Foguistas de embarcação
codigo,,,825,Marinheiros civis
codigo,,,826,Taifeiros
codigo,,,827,Barqueiros e canoeiros
codigo,,,831,Práticos de porto
codigo,,,832,Guindasteiros
codigo,,,833,Estivadores
codigo,,,841,Agentes de estrada de ferro
codigo,,,842,Condutores e chefes de trem
codigo,,,843,Maquinistas
codigo,,,844,Foguistas de trem
codigo,,,845,Guarda-freios
codigo,,,846,Manobreiros e sinaleiros
codigo,,,851,Motoristas
codigo,,,852,Trocadores
codigo,,,853,Motorneiros de bonde
codigo,,,854,Condutores de bonde
codigo,,,855,Carroceiros e tropeiros
codigo,,,861,Inspetores e despachantes nos transportes
codigo,,,862,Trabalhadores de conservação de rodovias
codigo,,,863,Trabalhadores de conservação de ferrovias
codigo,,,871,Agentes postais e telegráficos
codigo,,,872,Telegrafistas e radiotelegrafistas
codigo,,,873,Telefonistas
codigo,,,874,Carteiros
codigo,,,875,Manipuladores nos Correios e Telégrafos
codigo,,,876,Guarda-fios
codigo,,,911,Cozinheiros
codigo,,,912,Garçons
codigo,,,913,Amas e copeiras
codigo,,,921,"Porteiros, faxineiros e ascensoristas de edifícios"
codigo,,,931,Barbeiros e cabeleireiros
codigo,,,932,Manicuras e pedicuros
codigo,,,933,Lavadeiras e engomadeiras
codigo,,,934,Engraxates
codigo,,,941,Músicos
codigo,,,942,"Artistas de cinema, teatro e circo"
codigo,,,943,Locutores e artistas de rádio e televisão
codigo,,,944,Operadores de radiodifusão
codigo,,,945,Operadores cinematográficos
codigo,,,951,Atletas profissionais
codigo,,,961,Lavadores de carros
codigo,,,962,Enceradores
codigo,,,971,Oficiais e praças das Forças Armadas
codigo,,,972,Oficiais e praças do Corpo de Bombeiros
codigo,,,973,Delegados e comissários de polícia
codigo,,,974,Investigadores e peritos policiais
codigo,,,975,Guardas civis e inspetores de tráfego
codigo,,,976,Carcereiros e guardas de presídio
codigo,,,981,Apontadores e capatazes
codigo,,,982,Aprendizes
codigo,,,983,"Contínuos, vigias e serventes"
codigo,,,984,Guardas sanitários
codigo,,,985,Inspetores e fiscais
codigo,,,986,Lixeiros
codigo,,,987,Lubrificadores
codigo,,,988,"Operadores de máquinas, exclusive na construção civil"
codigo,,,989,"Trabalhadores braçais, sem especificação"
codigo,,,998,Outras ocupações ou ocupações mal definidas
codigo,,,999,Sem declaração de ocupação
codigo,,,,Não aplicável (9 anos de idade ou menos e/ou não trabalhou no ano anterior à data do Censo)
codigo,V223,Ocupação Na Última Semana,2,Mesma Ocupação Declarada na V221
codigo,,,3,Outra Ocupação
codigo,,,4,Desempregado
codigo,,,5,Ignorado
codigo,,,,Não aplicável (9 anos de idade ou menos e/ou não trabalhou no ano anterior à data do Censo) ou Informação Faltante (Registro Corrompido)
codigo,V223B,Ramo e classe de atividade,111,Cultura de agave ou sisal
codigo,,,112,Cultura de algodão
codigo,,,113,Cultura de arroz
codigo,,,114,Cultura de banana
codigo,,,115,Cultura de cacau
codigo,,,116,Cultura de café
codigo,,,117,Cultura de cana
codigo,,,118,Cultura de fumo
codigo,,,119,Cultura de trigo
codigo,,,120,Outras culturas não compreendidas nas classes anteriores
codigo,,,121,Fruticultura (exclusive banana)
codigo,,,122,Horticultura e floricultura
codigo,,,123,Silvicultura
codigo,,,129,Atividades agrícolas mal definidas
codigo,,,151,Pecuária
codigo,,,152,Avicultura e cunicultura
codigo,,,153,Apicultura e sericicultura
codigo,,,191,Agropecuária
codigo,,,211,Extração de borracha e gomas não elásticas
codigo,,,212,Extração de erva-mate
codigo,,,213,Extração de plantas fibrosas
codigo,,,214,Extração de frutos e sementes oleaginosas e ceras
codigo,,,215,Extração de madeiras
codigo,,,216,Produção de carvão vegetal
codigo,,,219,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,251,"Extração e beneficiamento de minerais metálicos e não metálicos (exclusive petróleo, gás natural e carvão de pedra)"
codigo,,,252,Extração e aparelhamento de pedras e outros materiais de construção
codigo,,,253,Extração de petróleo e gás natural
codigo,,,254,Extração de carvão de pedra
codigo,,,255,Exploração de salinas e fontes hidrominerais
codigo,,,256,Faiscação e garimpagem
codigo,,,259,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,291,Caça
codigo,,,292,Pesca e piscicultura
codigo,,,311,Indústrias metalúrgicas
codigo,,,312,Indústrias mecânicas
codigo,,,313,Indústrias de material elétrico e de material de comunicações
codigo,,,314,Indústrias de material de transportes (construção e montagem)
codigo,,,315,Indústrias de minerais não metálicos (exclusive combustíveis minerais)
codigo,,,316,Indústrias da borracha
codigo,,,317,Indústrias do fumo
codigo,,,318,Indústrias de papel e papelão
codigo,,,321,Indústrias do mobiliário (inclusive colchoarias)
codigo,,,322,Indústrias de madeira
codigo,,,323,"Indústrias de couro, peles e produtos similares (exclusive artigos do vestuário e calçados)"
codigo,,,324,Indústrias farmacêuticas
codigo,,,325,Indústrias de plásticos
codigo,,,326,Indústrias químicas
codigo,,,327,Indústrias de produtos derivados do petróleo e do carvão (exclusive produção de gás de iluminação)
codigo,,,328,Indústrias têxteis
codigo,,,331,Indústrias domiciliárias têxteis
codigo,,,332,Indústrias domiciliárias de artigos de palha
codigo,,,333,Indústrias do vestuário
codigo,,,334,Indústrias do calçado
codigo,,,335,Indústrias de produtos alimentares e estimulantes
codigo,,,336,Indústrias de bebidas e álcoois
codigo,,,337,Indústrias editoriais e gráficas
codigo,,,339,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,351,Construção civil
codigo,,,391,Produção de energia elétrica e gás
codigo,,,392,Abastecimento d'água e serviços de esgoto
codigo,,,411,Comércio de animais vivos e matérias-primas (exclusive aves para alimentação)
codigo,,,412,"Comércio de gêneros alimentícios, bebidas e estimulantes"
codigo,,,413,"Comércio de tecidos e produtos afins, calçados, artigos do vestuário e armarinho"
codigo,,,414,"Comércio de móveis, tapeçarias, objetos de arte e ornamentação"
codigo,,,415,"Comércio de papel, impressos e artigos de escritório"
codigo,,,416,"Comércio de ferragens, louças, materiais de construção e produtos metalúrgicos"
codigo,,,417,"Comércio de máquinas, aparelhos, instrumentos, material elétrico, veículos e acessórios"
codigo,,,418,Comércio de produtos farmacêuticos
codigo,,,421,Comércio de combustíveis e lubrificantes
codigo,,,422,Comércio ambulante
codigo,,,423,Feiras e mercados
codigo,,,424,Atividades auxiliares do comércio de mercadorias
codigo,,,429,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,451,Comércio de imóveis
codigo,,,452,Comércio de títulos e moedas
codigo,,,453,Bancos e casas bancárias
codigo,,,454,Caixas econômicas e cooperativas de crédito
codigo,,,455,Seguros e capitalização
codigo,,,459,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,511,Serviços de alojamento e de alimentação
codigo,,,512,Serviços de higiene pessoal
codigo,,,513,"Serviços de confecção, conservação e reparação de artigos de uso pessoal"
codigo,,,514,"Serviços de conservação, reparação e ornamentação de habitações e locais de trabalho"
codigo,,,515,"Serviços de conservação, reparação e instalação de máquinas e veículos"
codigo,,,516,"Serviços de diversões (espetáculos, radiodifusão, televisão e desportos)"
codigo,,,517,Serviços domésticos remunerados
codigo,,,518,Serviços de administração e conservação de edifícios
codigo,,,519,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,611,Transportes a tração e condução animal
codigo,,,612,Transportes rodoviários por veículos motorizados
codigo,,,613,Transportes urbanos de ferro-carril
codigo,,,614,Transportes ferroviários
codigo,,,615,"Transportes marítimos, fluviais e lacustres"
codigo,,,616,Serviços portuários
codigo,,,617,Transportes aéreos
codigo,,,618,"Serviços postais, telegráficos e de radiocomunicações"
codigo,,,621,Telefones
codigo,,,622,Armazenagem
codigo,,,629,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,711,Ensino público
codigo,,,712,Ensino particular
codigo,,,713,Assistência médico-hospitalar pública
codigo,,,714,Assistência médico-hospitalar particular
codigo,,,715,"Saneamento, abastecimento e melhoramentos urbanos (exclusive abastecimento d'água e serviços de esgoto)"
codigo,,,716,Previdência social
codigo,,,717,Assistência e beneficência
codigo,,,718,Culto e atividades auxiliares
codigo,,,721,Instituições culturais
codigo,,,722,Sindicatos e associações de classe
codigo,,,729,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,751,Advocacia e atividades auxiliares
codigo,,,752,"Engenharia, arquitetura e atividades auxiliares"
codigo,,,753,Odontologia e atividades auxiliares
codigo,,,754,"Agronomia, veterinária e atividades auxiliares"
codigo,,,755,Medicina e atividades auxiliares
codigo,,,756,"Ciências, letras, artes e atividades auxiliares"
codigo,,,757,Contabilidade e atividades auxiliares
codigo,,,759,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,811,Poder Legislativo
codigo,,,812,Justiça e atividades auxiliares
codigo,,,813,Serviço administrativo federal
codigo,,,814,Serviço administrativo estadual
codigo,,,815,Serviço administrativo municipal
codigo,,,816,Serviço administrativo autárquico
codigo,,,819,Atividades não compreendidas nas classes anteriores ou mal definidas
codigo,,,851,Exército
codigo,,,852,Marinha de Guerra
codigo,,,853,Aviação Militar
codigo,,,854,Polícia Militar
codigo,,,855,Polícia Civil
codigo,,,856,Corpo de Bombeiros
codigo,,,859,Outras organizações de segurança
codigo,,,911,Representações estrangeiras
codigo,,,912,Outras atividades não compreendidas nos demais ramos
codigo,,,919,Atividades mal definidas ou não declaradas
codigo,,,,Não aplicável (9 anos de idade ou menos e/ou não trabalhou no ano anterior à data do Censo)
codigo,V224,Posição Na Ocupação,0,Membro da Família
codigo,,,1,Ignorado
codigo,,,5,Empregado Público
codigo,,,6,Empregado Particular
codigo,,,7,Trabalha Por Conta-própria
codigo,,,8,Parceiro Ou Meeiro
codigo,,,9,Empregador
codigo,,,,Não aplicável (9 anos de idade ou menos e/ou não trabalhou no ano anterior à data do Censo) ou Informação Faltante (Registro Corrompido)
secao,VARIÁVEIS DERIVADAS CALCULADAS A PARTIR DOS DADOS (ADICIONADAS PELO censobr),,,
subsecao,Características dos domicílios,,,
codigo,censobr_n_listadas,Número de pessoas listadas no Boletim de Amostra,Valor,
codigo,censobr_n_residentes,Número de moradores residentes do domicílio (exclusive não moradores presentes),Valor,
codigo,censobr_n_presentes,Número de pessoas presentes no domicílio (exclusive moradores ausentes),Valor,
codigo,censobr_n_familias,Número de famílias no domicílio (no máximo 3 - o IBGE classifica domicílios com 4 famílias ou mais como Coletivos),Valor,
secao,VARIÁVEIS PARA IMPLEMENTAR O PLANO AMOSTRAL (ADICIONADAS PELO censobr),,,
codigo,censobr_estrato,"Estrato do desenho amostral. Na amostra de 25% é a pasta cruzada com a situação (18.400 estratos); na de 1,27% é a unidade da federação cruzada com o grupo de situação da pasta (21 estratos), recalculada para as onze unidades que entram na compilação",Texto,
codigo,censobr_upa,"Unidade Primária de Amostragem. Na amostra de 25% é o domicílio, que é o que se sorteia; na de 1,27% é a pasta",Valor,
codigo,censobr_fpc,Correção de população finita da primeira etapa,0.25,Amostra de 25%: um domicílio em quatro
codigo,,,0.05,"Amostra de 1,27%: uma pasta em vinte"
codigo,censobr_usa,Unidade Secundária de Amostragem: o domicílio,Valor,
codigo,censobr_fpc2,Correção de população finita da segunda etapa,1,"Amostra de 25%: não há segunda etapa, e ela não contribui para a variância"
codigo,,,0.25,"Amostra de 1,27%: um domicílio em quatro dentro da pasta"
codigo,censobr_weight,"Peso final da pessoa para expansão. Calibrado aos resultados definitivos da Série Nacional, vol. I, por unidade da federação, pelo raking de Deville-Särndal com distância logit. Na amostra de 25% as margens são município × situação da Sinopse Preliminar, sexo × faixa etária e alfabetização; na de 1,27%, sexo × faixa etária, situação e alfabetização",Valor,
codigo,censobr_weight_fator,Razão entre o peso final e o peso de desenho. Mede o quanto a calibração deslocou cada registro,Valor,
codigo,censobr_weight_desenho,"Peso nominal do desenho, sem calibração",4,Amostra de 25%: um domicílio em quatro
codigo,,,78.740157480315,"Amostra de 1,27%: um domicílio em quatro, uma pasta em vinte"
codigo,censobr_weight_nivel,Nível em que ficou a âncora municipal da calibração,municipio x situacao,A célula de situação do município foi usada como está
codigo,,,municipio,A célula de situação era instável e colapsou para o município inteiro
codigo,,,,"Não se aplica - Registro advindo da amostra de 1,27%"
codigo,censobr_weight_ibge,"Peso inteiro do método que o IBGE descreve nos tomos da Série Regional: razão a unidade da federação × situação, com peso inteiro sorteado para fechar o total da Sinopse Preliminar. Serve para reproduzir os volumes publicados, inclusive nos seus artefatos de arredondamento",3,
codigo,,,4,
codigo,,,5,
codigo,,,,"Não se aplica - Registro advindo da amostra de 1,27%"
codigo,censobr_weight_1965,Peso calibrado aos quadros dos Resultados Preliminares de 1965,Valor,
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_weight_1965_fator,Razão entre esse peso e o peso de desenho,Valor,
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
secao,VARIÁVEIS DE DIAGNÓSTICO E CONSISTÊNCIA (ADICIONADAS PELO censobr),,,
codigo,censobr_favela,"Registro em favela. Só na Guanabara, onde o Código de Municípios e Distritos dá código próprio às favelas",1,Sim
codigo,,,0,Não
codigo,censobr_muni_corrigido,"Código de município corrigido na leitura: Alagoas vinha deslocada em +200, Fernando de Noronha como 2701, o Distrito Federal como 9701 e a Guanabara codificada por bairro",1,Sim
codigo,,,0,Não
codigo,censobr_uf_corrigida,Unidade da federação corrigida na leitura: 64 famílias de Porto Velho estavam gravadas como Roraima,1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_diagnostico,Diagnóstico do dano de fita no registro. O arquivo da amostra de 25% não sofreu dano: 948 MB sem um caractere fora de [0-9 ],sem_problema,Registro íntegro
codigo,,,valor_isolado,"Um valor fora do dicionário, anulado e anotado em censobr_variaveis_anuladas"
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_variaveis_anuladas,"Lista das variáveis cujo valor saiu do dicionário e foi anulado, separadas por espaço. Fica vazia, e não ausente, quando o registro não teve nenhuma variável anulada",Texto,
codigo,censobr_tipo_registro,Tipo do registro de pessoa no arquivo de origem,2,Chefe
codigo,,,3,Demais pessoas
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_duplicata_mantida,"Linha repetida que foi mantida, com marca, por não se encaixar no mecanismo de cópia identificado",1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_familia_origem,Como a família foi reconstruída na leitura,registro,A família tem o seu registro no arquivo
codigo,,,registro_perdido,A família foi reconstruída a partir dos registros de pessoa
codigo,,,anexada_anterior,Pessoa anexada à família anterior
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_v208_imputada,Nacionalidade imputada deterministicamente a partir da naturalidade,1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_v217_fora_da_faixa,Filhos tidos fora da faixa do dicionário,1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_v218_fora_da_faixa,Filhos vivos fora da faixa do dicionário,1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_flag_conjuge_mesmo_sexo,"Cônjuge do mesmo sexo do chefe. Marca de coerência, sem correção",1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_flag_filho_mais_velho,"Filho mais velho incompatível com a idade do chefe. Marca de coerência, sem correção",1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_flag_casamento_impossivel,"Ano de casamento incompatível com a idade. Marca de coerência, sem correção",1,Sim
codigo,,,0,Não
codigo,,,,Não se aplica - Registro advindo da amostra de 25%
codigo,censobr_linha,Número da linha do registro no arquivo de origem,Valor,
